submission_id,question_id,male,white,answer
94588,5,1,0,0
94588,1,1,1,1
94588,6,1,0,0
94588,24,0,0,0
94588,20,0,1,0
94588,8,0,1,0
94588,9,0,0,0
94589,3,0,1,0
94589,1,0,0,1
94589,6,1,0,0
94589,4,0,1,0
94589,7,1,1,0
94589,2,0,1,1
94589,5,1,1,0
94590,3,1,0,0
94590,7,1,0,0
94590,6,0,0,0
94590,4,1,0,0
94590,1,1,0,1
94590,2,1,1,1
94590,5,0,1,1
94591,2,1,0,1
94591,3,1,0,0
94591,7,1,0,0
94591,1,0,0,1
94591,5,1,1,0
94591,4,0,0,0
94591,6,0,1,0
94591,24,1,1,0
94592,1,1,1,0
94592,5,0,1,0
94592,6,1,1,0
94592,2,0,1,0
94592,7,1,0,0
94592,3,0,1,0
94592,4,0,1,0
94592,9,0,0,0
94592,19,1,1,0
94592,26,0,1,0
94593,1,0,1,1
94593,4,0,1,0
94593,6,0,0,0
94593,7,0,0,0
94593,5,0,0,1
94593,3,1,0,1
94593,2,1,0,0
94593,26,0,1,1
94593,10,0,1,1
94593,11,1,1,0
94593,9,1,1,0
94593,8,1,0,1
94593,20,1,1,0
94593,12,0,1,0
94593,21,1,0,1
94593,17,1,0,0
94593,19,0,1,0
94593,13,1,1,1
94593,27,0,1,1
94593,16,0,0,1
94593,22,0,1,1
94593,14,1,1,0
94593,18,1,1,0
94593,25,0,0,1
94593,15,1,1,0
94593,24,1,0,1
94593,23,0,0,1
94594,7,1,1,0
94594,2,0,1,0
94594,3,0,0,0
94594,1,1,0,1
94594,5,0,1,1
94594,4,1,1,0
94594,6,1,0,0
94594,20,1,0,0
94594,15,0,1,0
94594,18,1,0,0
94594,21,1,0,1
94594,22,0,1,0
94594,17,0,0,0
94594,27,1,1,0
94594,26,1,1,0
94594,24,0,0,0
94594,8,0,0,1
94594,13,0,1,0
94594,12,0,1,0
94594,11,1,1,0
94594,25,1,1,0
94594,10,1,0,1
94594,14,0,1,0
94594,16,0,0,0
94594,23,0,0,0
94594,19,0,0,0
94594,9,1,0,0
94595,2,0,0,1
94595,4,1,0,0
94595,7,0,1,0
94595,5,1,0,1
94595,1,0,1,1
94595,3,1,1,0
94595,6,0,0,0
94595,18,1,0,0
94596,6,0,1,0
94596,7,1,1,0
94596,5,0,1,0
94596,3,1,0,0
94596,2,0,0,1
94596,1,1,1,1
94596,4,0,1,0
94596,12,1,0,0
94596,11,1,0,0
94596,20,0,0,0
94596,15,1,0,0
94596,25,1,1,0
94596,10,0,1,0
94596,19,0,0,0
94596,8,1,0,0
94596,24,1,0,0
94596,27,1,1,1
94596,13,1,1,0
94596,17,1,1,0
94596,26,1,1,0
94596,18,0,0,0
94596,21,0,0,0
94596,23,0,0,0
94596,9,0,1,1
94596,16,1,0,0
94596,14,1,1,0
94596,22,0,0,1
94597,3,1,1,0
94597,1,1,0,1
94597,6,1,0,0
94597,5,0,0,0
94597,7,1,1,0
94597,2,1,0,1
94597,4,1,0,0
94598,7,1,1,0
94598,3,0,1,0
94598,5,1,1,0
94598,2,0,0,1
94598,1,0,1,1
94598,6,1,0,0
94598,4,1,1,1
94598,12,1,1,0
94598,20,1,0,0
94598,24,1,1,0
94598,26,0,0,0
94598,22,1,0,0
94598,8,1,1,0
94598,13,0,1,1
94598,15,1,0,0
94598,18,1,1,0
94598,17,1,1,1
94598,23,0,0,0
94598,19,0,0,0
94598,16,0,1,0
94598,14,0,1,0
94598,25,0,1,0
94598,9,0,0,1
94598,11,0,0,1
94598,21,1,0,0
94598,10,1,0,1
94598,27,1,0,1
94599,6,0,1,0
94599,2,1,1,0
94599,5,1,0,0
94599,1,1,1,1
94599,3,0,1,1
94599,4,0,0,0
94599,7,1,1,0
94600,3,1,0,0
94600,5,1,0,0
94600,1,1,1,1
94600,2,1,0,1
94600,7,0,1,0
94600,4,1,0,0
94600,6,0,0,0
94600,21,0,0,0
94600,25,0,0,0
94600,26,0,1,0
94600,8,1,1,1
94600,16,1,1,1
94600,9,1,1,1
94600,19,0,1,0
94600,18,0,0,0
94600,22,1,0,0
94600,17,1,0,0
94600,11,0,0,0
94600,23,1,0,0
94600,14,1,0,0
94600,27,0,1,1
94600,12,0,1,0
94600,10,0,1,0
94600,15,1,0,0
94600,13,1,1,0
94600,24,1,1,0
94600,20,0,0,0
94601,2,0,1,1
94601,6,1,1,0
94601,4,0,0,0
94601,5,1,1,0
94601,7,0,0,0
94601,1,1,1,1
94601,3,1,1,0
94601,11,1,0,0
94601,20,0,1,0
94601,21,1,1,0
94601,25,1,0,0
94601,10,0,1,0
94601,23,0,1,0
94601,19,0,1,1
94601,27,1,0,0
94601,12,1,0,0
94601,26,0,0,0
94601,14,1,1,0
94601,17,0,0,0
94601,16,1,1,0
94601,15,1,0,0
94601,13,0,0,0
94601,9,1,0,1
94601,22,0,1,0
94601,18,0,0,0
94601,8,1,0,0
94601,24,0,0,0
94602,3,1,0,0
94602,6,0,0,0
94602,7,1,1,0
94602,4,0,1,0
